xc yc W eW
-1.21 0.53 0.147679 0.0267421
-1.21 0.55 0.167286 0.0269428
-1.21 0.57 0.0957447 0.019288
-1.21 0.59 0.132743 0.025794
-1.21 0.61 0.108696 0.0208957
-1.21 0.63 0.0798479 0.0181065
-1.19 -0.19 0.0996016 0.0208888
-1.19 -0.17 0.106838 0.02248
-1.19 -0.15 0.107266 0.0202726
-1.19 -0.13 0.114815 0.021773
-1.19 -0.11 0.131148 0.0246573
-1.19 -0.09 0.118644 0.0212108
-1.19 -0.07 0.125984 0.0236324
-1.19 -0.05 0.177122 0.0277372
-1.19 -0.03 0.138889 0.0250538
-1.19 -0.01 0.141818 0.024266
-1.19 0.01 0.125899 0.0225808
-1.19 0.03 0.140078 0.0249279
-1.19 0.05 0.10274 0.0196976
-1.19 0.07 0.0962199 0.0190386
-1.19 0.09 0.104027 0.0196315
-1.19 0.11 0.0865052 0.0180338
-1.19 0.13 0.110687 0.0216618
-1.19 0.15 0.0912409 0.0190625
-1.19 0.17 0.131944 0.0227726
-1.19 0.19 0.125 0.0224105
-1.19 0.21 0.129278 0.0235605
-1.19 0.23 0.0882353 0.0187888
-1.19 0.25 0.0989011 0.0199526
-1.19 0.27 0.159851 0.0262533
-1.19 0.29 0.114815 0.021773
-1.19 0.31 0.0945946 0.0187031
-1.19 0.33 0.0989011 0.0199526
-1.19 0.35 0.118421 0.0208728
-1.19 0.37 0.122137 0.0228716
-1.19 0.39 0.124481 0.0241001
-1.19 0.41 0.136 0.0248593
-1.19 0.43 0.0909091 0.0197987
-1.19 0.45 0.0812721 0.0176216
-1.19 0.47 0.131579 0.0236589
-1.19 0.49 0.120275 0.0215181
-1.19 0.51 0.0819672 0.0190648
-1.19 0.53 0.114943 0.0221588
-1.19 0.55 0.125 0.0230797
-1.19 0.57 0.108949 0.0216821
-1.19 0.59 0.142857 0.0244549
-1.19 0.61 0.124514 0.0233413
-1.19 0.63 0.0902256 0.0192301
-1.19 0.65 0.0874525 0.0190157
-1.19 0.67 0.0789474 0.0193287
-1.17 -0.23 0.118943 0.0242136
-1.17 -0.21 0.12782 0.0232797
-1.17 -0.19 0.0782313 0.0169384
-1.17 -0.17 0.156 0.0268578
-1.17 -0.15 0.120521 0.0209736
-1.17 -0.13 0.0948905 0.0194725
-1.17 -0.11 0.114983 0.0211353
-1.17 -0.09 0.0934256 0.0188009
-1.17 -0.07 0.12766 0.0225939
-1.17 -0.05 0.139706 0.0241946
-1.17 -0.03 0.138889 0.0250538
-1.17 -0.01 0.136364 0.0242274
-1.17 0.01 0.119863 0.0214404
-1.17 0.03 0.0649819 0.0158062
-1.17 0.05 0.167364 0.0285914
-1.17 0.07 0.126923 0.0234547
-1.17 0.09 0.114478 0.0207262
-1.17 0.11 0.0814332 0.0169368
-1.17 0.13 0.128676 0.0231073
-1.17 0.15 0.101449 0.0201211
-1.17 0.17 0.0912409 0.0190625
